COUNT(rental_id),title
34,BUCKET BROTHERHOOD
33,ROCKETEER MOTHER
32,RIDGEMONT SUBMARINE
32,SCALAWAG DUCK
32,GRIT CLOCKWORK
32,FORWARD TEMPLE
32,JUGGLER HARDLY
31,ROBBERS JOON
31,NETWORK PEAK
31,RUSH GOODFELLAS
31,ZORRO ARK
31,GOODFELLAS SALUTE
31,WIFE TURN
31,TIMBERLAND SKY
31,HOBBIT ALIEN
31,APACHE DIVINE
30,MARRIED GO
30,MASSACRE USUAL
30,MUSCLE BRIGHT
30,SUSPECTS QUILLS
30,PULP BEVERLY
30,SHOCK CABIN
30,RUGRATS SHAKESPEARE
30,FROST HEAD
30,WITCHES PANIC
30,CAT CONEHEADS
30,DOGMA FAMILY
30,HARRY IDAHO
30,IDOLS SNATCHERS
30,BUTTERFLY CHOCOLAT
30,GRAFFITI LOVE
30,ENGLISH BULWORTH
29,BOOGIE AMELIE
29,DEER VIRGINIAN
29,SWEETHEARTS SUSPECTS
29,GLEAMING JAWBREAKER
29,TALENTED HOMICIDE
29,VIDEOTAPE ARSENIC
29,FAMILY SWEET
29,VIRGINIAN PLUTO
29,CONFIDENTIAL INTERVIEW
29,GREATEST NORTH
29,MOON BUNCH
29,TITANS JERK
29,BINGO TALENTED
29,ENEMY ODDS
29,STORM HAPPINESS
28,SATURDAY LAMBS
28,GILMORE BOILED
28,ROSES TREASURE
28,EXPENDABLE STALLION
28,HANDICAP BOONDOCK
28,CLOSER BANG
28,FATAL HAUNTED
28,VOYAGE LEGALLY
28,GIANT TROOPERS
28,TRIP NEWTON
28,STORY SIDE
27,OPERATION OPERATION
27,MOVIE SHAKESPEARE
27,GANGS PRIDE
27,TELEGRAPH VOYAGE
27,CHANCE RESURRECTION
27,SWARM GOLD
27,GOLDMINE TYCOON
27,BLACKOUT PRIVATE
27,LIES TREATMENT
27,HORROR REIGN
27,NONE SPIKING
27,LOATHING LEGALLY
27,CAMELOT VACATION
27,RANGE MOONWALKER
27,DANCING FEVER
27,DETECTIVE VISION
27,WARDROBE PHANTOM
27,CURTAIN VIDEOTAPE
27,TORQUE BOUND
27,PRIMARY GLASS
27,FORRESTER COMANCHEROS
27,LOSE INCH
27,PRINCESS GIANT
27,DORADO NOTTING
27,INVASION CYCLONE
27,SPY MILE
26,TRACY CIDER
26,COMA HEAD
26,INNOCENT USUAL
26,ISLAND EXORCIST
26,DURHAM PANKY
26,STAGECOACH ARMAGEDDON
26,DISTURBING SCARFACE
26,BROTHERHOOD BLANKET
26,HANKY OCTOBER
26,SEABISCUIT PUNK
26,ALASKA PHANTOM
26,HYDE DOCTOR
26,FELLOWSHIP AUTUMN
26,POCUS PULP
26,FANTASY TROOPERS
26,HALF OUTFIELD
26,TIGHTS DAWN
26,METROPOLIS COMA
26,PITY BOUND
26,CONTACT ANONYMOUS
26,MALKOVICH PET
26,PELICAN COMFORTS
26,VELVET TERMINATOR
26,WESTWARD SEABISCUIT
25,SUN CONFESSIONS
25,OSCAR GOLD
25,BARBARELLA STREETCAR
25,TELEMARK HEARTBREAKERS
25,DOUBLE WRATH
25,NIGHTMARE CHILL
25,DOWNHILL ENOUGH
25,CONEHEADS SMOOCHY
25,EFFECT GLADIATOR
25,DYNAMITE TARZAN
25,ESCAPE METROPOLIS
25,SHOW LORD
25,FISH OPUS
25,FEUD FROGMEN
25,CLUELESS BUCKET
25,MADNESS ATTACKS
25,METAL ARMAGEDDON
25,GUN BONNIE
25,CLASH FREDDY
25,SAMURAI LION
25,STREETCAR INTENTIONS
25,TRADING PINOCCHIO
25,MALLRATS UNITED
25,HILLS NEIGHBORS
25,TOMORROW HUSTLER
25,SHEPHERD MIDSUMMER
25,WORKING MICROCOSMOS
24,JUMPING WRATH
24,ORANGE GRAPES
24,HURRICANE AFFAIR
24,ATTRACTION NEWTON
24,GOLDFINGER SENSIBILITY
24,ALAMO VIDEOTAPE
24,HORN WORKING
24,SHOOTIST SUPERFLY
24,WEDDING APOLLO
24,OZ LIAISONS
24,SEATTLE EXPECATIONS
24,PACIFIC AMISTAD
24,CELEBRITY HORN
24,GUNFIGHT MOON
24,BOUND CHEAPER
24,SLUMS DUCK
24,ARACHNOPHOBIA ROLLERCOASTER
24,LOLA AGENT
24,ICE CROSSING
24,CAPER MOTIONS
24,CENTER DINOSAUR
24,STRANGELOVE DESIRE
24,FARGO GANDHI
24,MOCKINGBIRD HOLLYWOOD
24,SLEEPING SUSPECTS
24,KNOCK WARLOCK
24,COLOR PHILADELPHIA
24,SUNRISE LEAGUE
24,JASON TRAP
24,DRIFTER COMMANDMENTS
24,ROMAN PUNK
24,ATLANTIS CAUSE
24,MAIDEN HOME
23,SALUTE APOLLO
23,GENTLEMEN STAGE
23,SNOWMAN ROLLERCOASTER
23,YENTL IDAHO
23,WASH HEAVENLY
23,ACADEMY DINOSAUR
23,TROUBLE DATE
23,EARTH VISION
23,OUTBREAK DIVINE
23,ALADDIN CALENDAR
23,OTHERS SOUP
23,KARATE MOON
23,EASY GLADIATOR
23,CARRIE BUNCH
23,SCORPION APOLLO
23,MURDER ANTITRUST
23,AFFAIR PREJUDICE
23,NAME DETECTIVE
23,CANDLES GRAPES
23,WOMEN DORADO
23,FLAMINGOS CONNECTICUT
23,PATTON INTERVIEW
23,HOUSE DYNAMITE
23,HEAVYWEIGHTS BEAST
23,BALLOON HOMEWARD
23,CROOKED FROGMEN
23,CUPBOARD SINNERS
23,FOOL MOCKINGBIRD
23,TITANIC BOONDOCK
23,FREDDY STORM
23,STRICTLY SCARFACE
23,STEEL SANTA
23,WIND PHANTOM
23,KWAI HOMEWARD
23,TRUMAN CRAZY
23,PHILADELPHIA WIFE
22,SOUTH WAIT
22,FIGHT JAWBREAKER
22,BANGER PINOCCHIO
22,AMERICAN CIRCUS
22,BORROWERS BEDAZZLED
22,LIAISONS SWEET
22,SEA VIRGIN
22,HUSTLER PARTY
22,FALCON VOLUME
22,VOLCANO TEXAS
22,ANGELS LIFE
22,CHICKEN HELLFIGHTERS
22,BLADE POLISH
22,BEAR GRACELAND
22,EAGLES PANKY
22,HEAD STRANGER
22,CHILL LUCK
22,SHAKESPEARE SADDLE
22,PACKER MADIGAN
22,ALIEN CENTER
22,ANNIE IDENTITY
22,FLATLINERS KILLER
22,SINNERS ATLANTIS
22,KISS GLORY
22,GRAPES FURY
22,SNATCH SLIPPER
22,HIGH ENCINO
22,CONGENIALITY QUEST
22,ALTER VICTORY
22,BEAUTY GREASE
22,WONDERLAND CHRISTMAS
22,HOMICIDE PEACH
22,DREAM PICKUP
22,HAUNTING PIANIST
22,TOURIST PELICAN
22,MIDSUMMER GROUNDHOG
22,MALTESE HOPE
22,QUEEN LUKE
22,WHISPERER GIANT
21,DRIVING POLISH
21,LEBOWSKI SOLDIERS
21,FIDELITY DEVIL
21,PIANIST OUTFIELD
21,GHOST GROUNDHOG
21,RESURRECTION SILVERADO
21,EMPIRE MALKOVICH
21,AMISTAD MIDSUMMER
21,BROOKLYN DESERT
21,UNBREAKABLE KARATE
21,ANACONDA CONFESSIONS
21,DIVIDE MONSTER
21,CALENDAR GUNFIGHT
21,BASIC EASY
21,BERETS AGENT
21,CHARIOTS CONSPIRACY
21,CAUSE DATE
21,FIREBALL PHILADELPHIA
21,WOLVES DESIRE
21,CROSSROADS CASUALTIES
21,EGG IGBY
21,BEVERLY OUTLAW
21,CHRISTMAS MOONSHINE
21,AGENT TRUMAN
21,DRACULA CRYSTAL
21,SECRET GROUNDHOG
21,ARIZONA BANG
21,WAIT CIDER
21,BADMAN DAWN
21,CHAINSAW UPTOWN
21,PIRATES ROXANNE
21,VACATION BOONDOCK
21,ARMAGEDDON LOST
21,BLUES INSTINCT
21,EXCITEMENT EVE
21,MOONSHINE CABIN
21,UNDEFEATED DALMATIONS
21,COAST RAINBOW
21,STAR OPERATION
21,STING PERSONAL
21,GREASE YOUTH
21,SABRINA MIDNIGHT
21,HIGHBALL POTTER
21,AMADEUS HOLY
21,DECEIVER BETRAYED
21,DOOM DANCING
21,SPLENDOR PATTON
21,SLEEPY JAPANESE
21,SUIT WALLS
21,OPEN AFRICAN
21,SLEUTH ORIENT
21,MOURNING PURPLE
20,INSIDER ARIZONA
20,TRAMP OTHERS
20,STRAIGHT HOURS
20,REDEMPTION COMFORTS
20,LOVE SUICIDES
20,BRINGING HYSTERICAL
20,REUNION WITCHES
20,RIVER OUTLAW
20,INTERVIEW LIAISONS
20,NORTHWEST POLISH
20,SECRETS PARADISE
20,OUTFIELD MASSACRE
20,SPICE SORORITY
20,KICK SAVANNAH
20,INTRIGUE WORST
20,CHASING FIGHT
20,HEARTBREAKERS BRIGHT
20,DALMATIONS SWEDEN
20,CHEAPER CLYDE
20,MONEY HAROLD
20,PINOCCHIO SIMON
20,FLYING HOOK
20,CHOCOLAT HARRY
20,HARPER DYING
20,HELLFIGHTERS SIERRA
20,JET NEIGHBORS
20,PEAK FOREVER
20,KISSING DOLLS
20,PREJUDICE OLEANDER
20,HUNCHBACK IMPOSSIBLE
20,DINOSAUR SECRETARY
20,GARDEN ISLAND
20,SLEEPLESS MONSOON
20,JERK PAYCHECK
20,QUEST MUSSOLINI
20,MILLION ACE
20,WRONG BEHAVIOR
20,REIGN GENTLEMEN
20,GO PURPLE
20,ROOM ROMAN
20,STEPMOM DREAM
20,MASKED BUBBLE
20,MINDS TRUMAN
19,REQUIEM TYCOON
19,BRIDE INTRIGUE
19,TROJAN TOMORROW
19,MINE TITANS
19,JEDI BENEATH
19,NEIGHBORS CHARADE
19,EARRING INSTINCT
19,MUSIC BOONDOCK
19,SUNDANCE INVASION
19,DESERT POSEIDON
19,DISCIPLE MOTHER
19,SOMETHING DUCK
19,THIEF PELICAN
19,ROXANNE REBEL
19,CLONES PINOCCHIO
19,HANGING DEEP
19,VOICE PEACH
19,ROAD ROXANNE
19,EYES DRIVING
19,CLUB GRAFFITI
19,RAGE GAMES
19,FANTASIA PARK
19,CANYON STOCK
19,NOVOCAINE FLIGHT
19,CAMPUS REMEMBER
19,BACKLASH UNDEFEATED
19,HOURS RAGE
19,CIDER DESIRE
19,POND SEATTLE
19,DETAILS PACKER
19,GORGEOUS BINGO
19,ENCINO ELF
19,FURY MURDER
19,ENCOUNTERS CURTAIN
19,BILL OTHERS
19,GABLES METROPOLIS
19,HONEY TIES
19,IGBY MAKER
19,MARS ROMAN
19,DOORS PRESIDENT
19,SHAWSHANK BUBBLE
19,FICTION CHRISTMAS
19,NATIONAL STORY
19,PATIENT SISTER
19,INDEPENDENCE HOTEL
18,SWEDEN SHINING
18,ENOUGH RAGING
18,EXPECATIONS NATURAL
18,CLEOPATRA DEVIL
18,BIRDS PERDITION
18,PARADISE SABRINA
18,AIRPORT POLLOCK
18,INSTINCT AIRPORT
18,SCARFACE BANG
18,ROUGE SQUAD
18,INSECTS STONE
18,BOULEVARD MOB
18,BAREFOOT MANCHURIAN
18,HOPE TOOTSIE
18,MISSION ZOOLANDER
18,JACKET FRISCO
18,LION UNCUT
18,CANDIDATE PERDITION
18,RACER EGG
18,HEAVEN FREEDOM
18,GROOVE FICTION
18,POLISH BROOKLYN
18,SECRETARY ROUGE
18,POLLOCK DELIVERANCE
18,SMOKING BARBARELLA
18,WEEKEND PERSONAL
18,CAROL TEXAS
18,GROUNDHOG UNCUT
18,VANISHING ROCKY
18,ALONE TRIP
18,DAWN POND
18,JADE BUNCH
18,DRAGONFLY STRANGERS
18,UNFORGIVEN ZOOLANDER
18,FORREST SONS
18,WONKA SEA
18,DARN FORRESTER
18,INCH JET
18,WHALE BIKINI
18,GALAXY SWEETHEARTS
18,CORE SUIT
18,REMEMBER DIARY
18,DRIVER ANNIE
17,GANDHI KWAI
17,ROOTS REMEMBER
17,MAJESTIC FLOATS
17,TEEN APOLLO
17,LOUISIANA HARRY
17,ORIENT CLOSER
17,INTENTIONS EMPIRE
17,MUSKETEERS WAIT
17,COMFORTS RUSH
17,ROCK INSTINCT
17,LADY STAGE
17,NEWTON LABYRINTH
17,FACTORY DRAGON
17,DYING MAKER
17,WATERFRONT DELIVERANCE
17,TAXI KICK
17,HANOVER GALAXY
17,BEACH HEARTBREAKERS
17,HOLOCAUST HIGHBALL
17,NOON PAPI
17,FERRIS MOTHER
17,VIRGIN DAISY
17,ZOOLANDER FICTION
17,LAWLESS VISION
17,BIKINI BORROWERS
17,FLINTSTONES HAPPINESS
17,IDAHO LOVE
17,POSEIDON FOREVER
17,STRANGERS GRAFFITI
17,CONFUSED CANDLES
17,JEKYLL FROGMEN
17,SLACKER LIAISONS
17,BREAKFAST GOLDFINGER
17,POTTER CONNECTICUT
17,PERFECT GROOVE
17,FREAKY POCUS
17,MIDNIGHT WESTWARD
17,JERICHO MULAN
17,JOON NORTHWEST
17,UNITED PILOT
17,EGYPT TENENBAUMS
17,CONVERSATION DOWNHILL
17,SUGAR WONKA
17,REAR TRADING
17,LEAGUE HELLFIGHTERS
17,MASK PEACH
17,GREEK EVERYONE
17,FRENCH HOLIDAY
17,SATISFACTION CONFIDENTIAL
16,ATTACKS HATE
16,SLIPPER FIDELITY
16,CADDYSHACK JEDI
16,DUDE BLINDNESS
16,MUMMY CREATURES
16,RULES HUMAN
16,WATCH TRACY
16,COMMAND DARLING
16,CASABLANCA SUPER
16,CHICAGO NORTH
16,WIZARD COLDBLOODED
16,CRAFT OUTFIELD
16,ROCKY WAR
16,PLUTO OLEANDER
16,PICKUP DRIVING
16,DESTINY SATURDAY
16,UPRISING UPTOWN
16,DAISY MENAGERIE
16,LOCK REAR
16,SILENCE KANE
16,PILOT HOOSIERS
16,PATRIOT ROMAN
16,CREATURES SHAKESPEARE
16,PAYCHECK WAIT
16,WANDA CHAMBER
16,BAKED CLEOPATRA
16,JEEPERS WEDDING
16,MERMAID INSECTS
16,REAP UNFAITHFUL
16,ARMY FLINTSTONES
16,HALL CASSIDY
16,STREAK RIDGEMONT
16,BULL SHAWSHANK
16,HOMEWARD CIDER
16,VARSITY TRIP
16,PURE RUNNER
16,WEST LION
16,COLDBLOODED DARLING
16,WILLOW TRACY
16,PRIDE ALAMO
16,WORST BANGER
16,TRAP GUYS
16,WORDS HUNTER
16,GRADUATE LORD
16,SAGEBRUSH CLUELESS
16,MOTIONS DETAILS
16,GASLIGHT CRUSADE
16,CONQUERER NUTS
16,ARTIST COLDBLOODED
16,BONNIE HOLOCAUST
16,MOULIN WAKE
16,QUILLS BULL
16,INDIAN LOVE
16,SUMMER SCARFACE
15,AIRPLANE SIERRA
15,NECKLACE OUTBREAK
15,SWEET BROTHERHOOD
15,SHIP WONDERLAND
15,TRANSLATION SUMMER
15,RINGS HEARTBREAKERS
15,CABIN FLASH
15,HOLES BRANNIGAN
15,WASTELAND DIVINE
15,SCISSORHANDS SLUMS
15,HOLIDAY GAMES
15,CYCLONE FAMILY
15,SONS INTERVIEW
15,EDGE KISSING
15,CHARADE DUFFEL
15,ENTRAPMENT SATISFACTION
15,DIVINE RESURRECTION
15,BETRAYED REAR
15,VIETNAM SMOOCHY
15,SIERRA DIVIDE
15,HYSTERICAL GRAIL
15,SHREK LICENSE
15,LUST LOCK
15,MADISON TRAP
15,LONELY ELEPHANT
15,SIEGE MADRE
15,CIRCUS YOUTH
15,MONSTER SPARTACUS
15,DEVIL DESIRE
15,TOOTSIE PILOT
15,VALLEY PACKER
15,SPIRIT FLINTSTONES
15,HUMAN GRAFFITI
15,ANTHEM LUKE
15,MOSQUITO ARMAGEDDON
15,ODDS BOOGIE
15,SUBMARINE BED
15,MODEL FISH
15,NASH CHOCOLAT
15,DIRTY ACE
15,BOILED DARES
15,MODERN DORADO
15,PANKY SUBMARINE
15,MANCHURIAN CURTAIN
15,STEERS ARMAGEDDON
15,ILLUSION AMELIE
15,WORKER TARZAN
15,LABYRINTH LEAGUE
15,LOSER HUSTLER
15,PANTHER REDS
15,HUNTING MUSKETEERS
14,JAWS HARRY
14,GLASS DYING
14,GOLD RIVER
14,HAMLET WISDOM
14,TROOPERS METAL
14,IMPOSSIBLE PREJUDICE
14,VIRTUAL SPOILERS
14,NEMO CAMPUS
14,KANE EXORCIST
14,ANALYZE HOOSIERS
14,NOTORIOUS REUNION
14,OUTLAW HANKY
14,SEARCHERS WAIT
14,LOVELY JINGLE
14,GRINCH MASSAGE
14,CONFESSIONS MAGUIRE
14,BLINDNESS GUN
14,SHRUNK DIVINE
14,DANCES NONE
14,SHANE DARKNESS
14,UNCUT SUICIDES
14,PARIS WEEKEND
14,ALLEY EVOLUTION
14,CREEPERS KANE
14,PEACH INNOCENT
14,HOME PITY
14,STAMPEDE DISTURBING
14,WEREWOLF LOLA
14,MADRE GABLES
14,DAY UNFAITHFUL
14,DONNIE ALLEY
14,PAJAMA JAWBREAKER
14,STOCK GLASS
14,PERSONAL LADYBUGS
14,SADDLE ANTITRUST
14,MOTHER OLEANDER
14,SHANGHAI TYCOON
14,SPLASH GUMP
14,WRATH MILE
14,DEEP CRUSADE
14,GREEDY ROOTS
14,TOMATOES HELLFIGHTERS
14,GAMES BOWFINGER
14,ELEPHANT TROJAN
14,TOWN ARK
14,IMAGE PRINCESS
14,TURN STAR
13,TUXEDO MILE
13,BRIGHT ENCOUNTERS
13,SATURN NAME
13,DRUMS DYNAMITE
13,MULAN MOON
13,EXPRESS LONELY
13,ROBBERY BRIGHT
13,TENENBAUMS COMMAND
13,DADDY PITTSBURGH
13,HOLLYWOOD ANONYMOUS
13,ARABIA DOGMA
13,RAGING AIRPLANE
13,CHISUM BEHAVIOR
13,MEMENTO ZOOLANDER
13,EVERYONE CRAFT
13,USUAL UNTOUCHABLES
13,LAWRENCE LOVE
13,DATE SPEED
13,BILKO ANONYMOUS
13,LUCKY FLYING
13,FLASH WARS
13,CINCINATTI WHISPERER
13,SPIKING ELEMENT
13,DARKNESS WAR
13,IDENTITY LOVER
13,CHAMBER ITALIAN
13,SPINAL ROCKY
13,ANONYMOUS HUMAN
13,CHAMPION FLATLINERS
13,MOONWALKER FOOL
13,CITIZEN SHREK
13,MONTEREY LABYRINTH
13,MICROCOSMOS PARADISE
13,PARTY KNOCK
13,FOREVER CANDIDATE
13,JINGLE SAGEBRUSH
13,BREAKING HOME
13,CONNECTICUT TRAMP
13,STATE WASTELAND
13,PAST SUICIDES
13,PURPLE MOVIE
13,HUNGER ROOF
13,BEDAZZLED MARRIED
13,SASSY PACKER
13,HOOK CHARIOTS
13,OPPOSITE NECKLACE
13,MILE MULAN
13,NATURAL STOCK
13,EXORCIST STING
13,BEHAVIOR RUNAWAY
13,SUPER WYOMING
13,WYOMING STORM
12,LOST BIRD
12,BORN SPINAL
12,MASSAGE IMAGE
12,MINORITY KISS
12,SPEAKEASY DATE
12,ALABAMA DEVIL
12,FINDING ANACONDA
12,TYCOON GATHERING
12,LIBERTY MAGNIFICENT
12,TEMPLE ATTRACTION
12,ADAPTATION HOLES
12,CALIFORNIA BIRDS
12,SORORITY QUEEN
12,AFRICAN EGG
12,MEET CHOCOLATE
12,BLANKET BEVERLY
12,UPTOWN YOUNG
12,VAMPIRE WHALE
12,CROW GREASE
12,DANGEROUS UPTOWN
12,LOVERBOY ATTACKS
12,GUNFIGHTER MUSSOLINI
12,SILVERADO GOLDFINGER
12,EVOLUTION ALTER
12,SIDE ARK
12,BRANNIGAN SUNRISE
12,HEDWIG ALTER
12,SMOOCHY CONTROL
12,PITTSBURGH HUNCHBACK
12,MOB DUFFEL
12,VALENTINE VANISHING
12,WAR NOTTING
12,FLIGHT LIES
12,MIGHTY LUCK
12,WINDOW SIDE
12,SAVANNAH TOWN
11,FRIDA SLIPPER
11,IRON MOON
11,DRUMLINE CYCLONE
11,PRIX UNDEFEATED
11,TWISTED PIRATES
11,THEORY MERMAID
11,AUTUMN CROW
11,NORTH TEQUILA
11,REEF SALUTE
11,SONG HEDWIG
11,THIN SAGEBRUSH
11,FUGITIVE MAGUIRE
11,TIES HUNGER
11,FEATHERS METAL
