actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2018-08-04 00:57:10
2,NICK,WAHLBERG,2018-08-04 00:57:10
3,ED,CHASE,2018-08-04 00:57:10
4,JENNIFER,DAVIS,2018-08-04 00:57:10
5,JOHNNY,LOLLOBRIGIDA,2018-08-04 00:57:10
6,BETTE,NICHOLSON,2018-08-04 00:57:10
7,GRACE,MOSTEL,2018-08-04 00:57:10
8,MATTHEW,JOHANSSON,2018-08-04 00:57:10
9,JOE,SWANK,2018-08-04 00:57:10
10,CHRISTIAN,GABLE,2018-08-04 00:57:10
11,ZERO,CAGE,2018-08-04 00:57:10
12,KARL,BERRY,2018-08-04 00:57:10
13,UMA,WOOD,2018-08-04 00:57:10
14,VIVIEN,BERGEN,2018-08-04 00:57:10
15,CUBA,OLIVIER,2018-08-04 00:57:10
16,FRED,COSTNER,2018-08-04 00:57:10
17,HELEN,VOIGHT,2018-08-04 00:57:10
18,DAN,TORN,2018-08-04 00:57:10
19,BOB,FAWCETT,2018-08-04 00:57:10
20,LUCILLE,TRACY,2018-08-04 00:57:10
21,KIRSTEN,PALTROW,2018-08-04 00:57:10
22,ELVIS,MARX,2018-08-04 00:57:10
23,SANDRA,KILMER,2018-08-04 00:57:10
24,CAMERON,STREEP,2018-08-04 00:57:10
25,KEVIN,BLOOM,2018-08-04 00:57:10
26,RIP,CRAWFORD,2018-08-04 00:57:10
27,JULIA,MCQUEEN,2018-08-04 00:57:10
28,WOODY,HOFFMAN,2018-08-04 00:57:10
29,ALEC,WAYNE,2018-08-04 00:57:10
30,SANDRA,PECK,2018-08-04 00:57:10
31,SISSY,SOBIESKI,2018-08-04 00:57:10
32,TIM,HACKMAN,2018-08-04 00:57:10
33,MILLA,PECK,2018-08-04 00:57:10
34,AUDREY,OLIVIER,2018-08-04 00:57:10
35,JUDY,DEAN,2018-08-04 00:57:10
36,BURT,DUKAKIS,2018-08-04 00:57:10
37,VAL,BOLGER,2018-08-04 00:57:10
38,TOM,MCKELLEN,2018-08-04 00:57:10
39,GOLDIE,BRODY,2018-08-04 00:57:10
40,JOHNNY,CAGE,2018-08-04 00:57:10
41,JODIE,DEGENERES,2018-08-04 00:57:10
42,TOM,MIRANDA,2018-08-04 00:57:10
43,KIRK,JOVOVICH,2018-08-04 00:57:10
44,NICK,STALLONE,2018-08-04 00:57:10
45,REESE,KILMER,2018-08-04 00:57:10
46,PARKER,GOLDBERG,2018-08-04 00:57:10
47,JULIA,BARRYMORE,2018-08-04 00:57:10
48,FRANCES,DAY-LEWIS,2018-08-04 00:57:10
49,ANNE,CRONYN,2018-08-04 00:57:10
50,NATALIE,HOPKINS,2018-08-04 00:57:10
51,GARY,PHOENIX,2018-08-04 00:57:10
52,CARMEN,HUNT,2018-08-04 00:57:10
53,MENA,TEMPLE,2018-08-04 00:57:10
54,PENELOPE,PINKETT,2018-08-04 00:57:10
55,FAY,KILMER,2018-08-04 00:57:10
56,DAN,HARRIS,2018-08-04 00:57:10
57,JUDE,CRUISE,2018-08-04 00:57:10
58,CHRISTIAN,AKROYD,2018-08-04 00:57:10
59,DUSTIN,TAUTOU,2018-08-04 00:57:10
60,HENRY,BERRY,2018-08-04 00:57:10
61,CHRISTIAN,NEESON,2018-08-04 00:57:10
62,JAYNE,NEESON,2018-08-04 00:57:10
63,CAMERON,WRAY,2018-08-04 00:57:10
64,RAY,JOHANSSON,2018-08-04 00:57:10
65,ANGELA,HUDSON,2018-08-04 00:57:10
66,MARY,TANDY,2018-08-04 00:57:10
67,JESSICA,BAILEY,2018-08-04 00:57:10
68,RIP,WINSLET,2018-08-04 00:57:10
69,KENNETH,PALTROW,2018-08-04 00:57:10
70,MICHELLE,MCCONAUGHEY,2018-08-04 00:57:10
71,ADAM,GRANT,2018-08-04 00:57:10
72,SEAN,WILLIAMS,2018-08-04 00:57:10
73,GARY,PENN,2018-08-04 00:57:10
74,MILLA,KEITEL,2018-08-04 00:57:10
75,BURT,POSEY,2018-08-04 00:57:10
76,ANGELINA,ASTAIRE,2018-08-04 00:57:10
77,CARY,MCCONAUGHEY,2018-08-04 00:57:10
78,GROUCHO,SINATRA,2018-08-04 00:57:10
79,MAE,HOFFMAN,2018-08-04 00:57:10
80,RALPH,CRUZ,2018-08-04 00:57:10
81,SCARLETT,DAMON,2018-08-04 00:57:10
82,WOODY,JOLIE,2018-08-04 00:57:10
83,BEN,WILLIS,2018-08-04 00:57:10
84,JAMES,PITT,2018-08-04 00:57:10
85,MINNIE,ZELLWEGER,2018-08-04 00:57:10
86,GREG,CHAPLIN,2018-08-04 00:57:10
87,SPENCER,PECK,2018-08-04 00:57:10
88,KENNETH,PESCI,2018-08-04 00:57:10
89,CHARLIZE,DENCH,2018-08-04 00:57:10
90,SEAN,GUINESS,2018-08-04 00:57:10
91,CHRISTOPHER,BERRY,2018-08-04 00:57:10
92,KIRSTEN,AKROYD,2018-08-04 00:57:10
93,ELLEN,PRESLEY,2018-08-04 00:57:10
94,KENNETH,TORN,2018-08-04 00:57:10
95,DARYL,WAHLBERG,2018-08-04 00:57:10
96,GENE,WILLIS,2018-08-04 00:57:10
97,MEG,HAWKE,2018-08-04 00:57:10
98,CHRIS,BRIDGES,2018-08-04 00:57:10
99,JIM,MOSTEL,2018-08-04 00:57:10
100,SPENCER,DEPP,2018-08-04 00:57:10
101,SUSAN,DAVIS,2018-08-04 00:57:10
102,WALTER,TORN,2018-08-04 00:57:10
103,MATTHEW,LEIGH,2018-08-04 00:57:10
104,PENELOPE,CRONYN,2018-08-04 00:57:10
105,SIDNEY,CROWE,2018-08-04 00:57:10
106,GROUCHO,DUNST,2018-08-04 00:57:10
107,GINA,DEGENERES,2018-08-04 00:57:10
108,WARREN,NOLTE,2018-08-04 00:57:10
109,SYLVESTER,DERN,2018-08-04 00:57:10
110,SUSAN,DAVIS,2018-08-04 00:57:10
111,CAMERON,ZELLWEGER,2018-08-04 00:57:10
112,RUSSELL,BACALL,2018-08-04 00:57:10
113,MORGAN,HOPKINS,2018-08-04 00:57:10
114,MORGAN,MCDORMAND,2018-08-04 00:57:10
115,HARRISON,BALE,2018-08-04 00:57:10
116,DAN,STREEP,2018-08-04 00:57:10
117,RENEE,TRACY,2018-08-04 00:57:10
118,CUBA,ALLEN,2018-08-04 00:57:10
119,WARREN,JACKMAN,2018-08-04 00:57:10
120,PENELOPE,MONROE,2018-08-04 00:57:10
121,LIZA,BERGMAN,2018-08-04 00:57:10
122,SALMA,NOLTE,2018-08-04 00:57:10
123,JULIANNE,DENCH,2018-08-04 00:57:10
124,SCARLETT,BENING,2018-08-04 00:57:10
125,ALBERT,NOLTE,2018-08-04 00:57:10
126,FRANCES,TOMEI,2018-08-04 00:57:10
127,KEVIN,GARLAND,2018-08-04 00:57:10
128,CATE,MCQUEEN,2018-08-04 00:57:10
129,DARYL,CRAWFORD,2018-08-04 00:57:10
130,GRETA,KEITEL,2018-08-04 00:57:10
131,JANE,JACKMAN,2018-08-04 00:57:10
132,ADAM,HOPPER,2018-08-04 00:57:10
133,RICHARD,PENN,2018-08-04 00:57:10
134,GENE,HOPKINS,2018-08-04 00:57:10
135,RITA,REYNOLDS,2018-08-04 00:57:10
136,ED,MANSFIELD,2018-08-04 00:57:10
137,MORGAN,WILLIAMS,2018-08-04 00:57:10
138,LUCILLE,DEE,2018-08-04 00:57:10
139,EWAN,GOODING,2018-08-04 00:57:10
140,WHOOPI,HURT,2018-08-04 00:57:10
141,CATE,HARRIS,2018-08-04 00:57:10
142,JADA,RYDER,2018-08-04 00:57:10
143,RIVER,DEAN,2018-08-04 00:57:10
144,ANGELA,WITHERSPOON,2018-08-04 00:57:10
145,KIM,ALLEN,2018-08-04 00:57:10
146,ALBERT,JOHANSSON,2018-08-04 00:57:10
147,FAY,WINSLET,2018-08-04 00:57:10
148,EMILY,DEE,2018-08-04 00:57:10
149,RUSSELL,TEMPLE,2018-08-04 00:57:10
150,JAYNE,NOLTE,2018-08-04 00:57:10
151,GEOFFREY,HESTON,2018-08-04 00:57:10
152,BEN,HARRIS,2018-08-04 00:57:10
153,MINNIE,KILMER,2018-08-04 00:57:10
154,MERYL,GIBSON,2018-08-04 00:57:10
155,IAN,TANDY,2018-08-04 00:57:10
156,FAY,WOOD,2018-08-04 00:57:10
157,GRETA,MALDEN,2018-08-04 00:57:10
158,VIVIEN,BASINGER,2018-08-04 00:57:10
159,LAURA,BRODY,2018-08-04 00:57:10
160,CHRIS,DEPP,2018-08-04 00:57:10
161,HARVEY,HOPE,2018-08-04 00:57:10
162,OPRAH,KILMER,2018-08-04 00:57:10
163,CHRISTOPHER,WEST,2018-08-04 00:57:10
164,HUMPHREY,WILLIS,2018-08-04 00:57:10
165,AL,GARLAND,2018-08-04 00:57:10
166,NICK,DEGENERES,2018-08-04 00:57:10
167,LAURENCE,BULLOCK,2018-08-04 00:57:10
168,WILL,WILSON,2018-08-04 00:57:10
169,KENNETH,HOFFMAN,2018-08-04 00:57:10
170,MENA,HOPPER,2018-08-04 00:57:10
171,OLYMPIA,PFEIFFER,2018-08-04 00:57:10
172,GROUCHO,WILLIAMS,2018-08-04 00:57:10
173,ALAN,DREYFUSS,2018-08-04 00:57:10
174,MICHAEL,BENING,2018-08-04 00:57:10
175,WILLIAM,HACKMAN,2018-08-04 00:57:10
176,JON,CHASE,2018-08-04 00:57:10
177,GENE,MCKELLEN,2018-08-04 00:57:10
178,LISA,MONROE,2018-08-04 00:57:10
179,ED,GUINESS,2018-08-04 00:57:10
180,JEFF,SILVERSTONE,2018-08-04 00:57:10
181,MATTHEW,CARREY,2018-08-04 00:57:10
182,DEBBIE,AKROYD,2018-08-04 00:57:10
183,RUSSELL,CLOSE,2018-08-04 00:57:10
184,HUMPHREY,GARLAND,2018-08-04 00:57:10
185,MICHAEL,BOLGER,2018-08-04 00:57:10
186,JULIA,ZELLWEGER,2018-08-04 00:57:10
187,RENEE,BALL,2018-08-04 00:57:10
188,ROCK,DUKAKIS,2018-08-04 00:57:10
189,CUBA,BIRCH,2018-08-04 00:57:10
190,AUDREY,BAILEY,2018-08-04 00:57:10
191,GREGORY,GOODING,2018-08-04 00:57:10
192,JOHN,SUVARI,2018-08-04 00:57:10
193,BURT,TEMPLE,2018-08-04 00:57:10
